,AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType,Global_Score
21914,AM-2,248C7D075B2BF148,GRABADOR-SDZG-AM-2/20190616_115000.WAV,GRABADOR-SDZG-AM-2,20190616_115000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:50:00 16/06/2019 (UTC) by AudioMoth 248C7D075B2BF148 at gain setting 2 while battery state was 4.5V.,AudioMoth 248C7D075B2BF148,2019:12:08 04:47:58-08:00,WAV,WAV,audio/x-wav,0.7284086943
49971,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190623_104000.WAV,GRABADOR-SDZG-AM-29,20190623_104000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:40:00 23/06/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.3V.,AudioMoth 247AA5015BA446E5,2019:12:08 11:51:44-08:00,WAV,WAV,audio/x-wav,0.5619138479
56789,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190623_103000.WAV,GRABADOR-SDZG-AM-30,20190623_103000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:30:00 23/06/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 4.3V.,AudioMoth 248C7D075B2BF656,2019:12:18 14:53:24-08:00,WAV,WAV,audio/x-wav,0.9912994504
57519,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190628_121000.WAV,GRABADOR-SDZG-AM-30,20190628_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:10:00 28/06/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 4.1V.,AudioMoth 248C7D075B2BF656,2019:12:18 15:16:11-08:00,WAV,WAV,audio/x-wav,0.9308279753
50552,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190627_113000.WAV,GRABADOR-SDZG-AM-29,20190627_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 27/06/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.2V.,AudioMoth 247AA5015BA446E5,2019:12:08 12:41:53-08:00,WAV,WAV,audio/x-wav,0.9899260402
39885,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190624_100000.WAV,GRABADOR-SDZG-AM-25,20190624_100000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:00:00 24/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.1V.,AudioMoth 24E144035BA455E9,2019:12:08 17:35:02-08:00,WAV,WAV,audio/x-wav,0.9694942236
23783,AM-2,248C7D075B2BF148,GRABADOR-SDZG-AM-2/20190629_112000.WAV,GRABADOR-SDZG-AM-2,20190629_112000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:20:00 29/06/2019 (UTC) by AudioMoth 248C7D075B2BF148 at gain setting 2 while battery state was 4.0V.,AudioMoth 248C7D075B2BF148,2019:12:08 07:29:18-08:00,WAV,WAV,audio/x-wav,0.9017621279
46902,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190626_122000.WAV,GRABADOR-SDZG-AM-27,20190626_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:20:00 26/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F075C79F65E,2019:12:18 12:58:52-08:00,WAV,WAV,audio/x-wav,0.9927282333
58384,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190704_122000.WAV,GRABADOR-SDZG-AM-30,20190704_122000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:20:00 04/07/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 3.9V.,AudioMoth 248C7D075B2BF656,2019:12:18 15:43:19-08:00,WAV,WAV,audio/x-wav,0.9774128795
40038,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190625_113000.WAV,GRABADOR-SDZG-AM-25,20190625_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 25/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.1V.,AudioMoth 24E144035BA455E9,2019:12:08 17:48:14-08:00,WAV,WAV,audio/x-wav,0.9790099859
1846,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190629_103000.WAV,GRABADOR-SDZG-AM-1,20190629_103000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:30:00 29/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:11:04-08:00,WAV,WAV,audio/x-wav,0.9705431461
57234,AM-30,248C7D075B2BF656,GRABADOR-SDZG-AM-30/20190626_124000.WAV,GRABADOR-SDZG-AM-30,20190626_124000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:40:00 26/06/2019 (UTC) by AudioMoth 248C7D075B2BF656 at gain setting 2 while battery state was 4.2V.,AudioMoth 248C7D075B2BF656,2019:12:18 15:07:16-08:00,WAV,WAV,audio/x-wav,0.9667067528
45895,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190619_123000.WAV,GRABADOR-SDZG-AM-27,20190619_123000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:30:00 19/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F075C79F65E,2019:12:18 12:27:24-08:00,WAV,WAV,audio/x-wav,0.98229146
49537,AM-29,247AA5015BA446E5,GRABADOR-SDZG-AM-29/20190620_102000.WAV,GRABADOR-SDZG-AM-29,20190620_102000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:20:00 20/06/2019 (UTC) by AudioMoth 247AA5015BA446E5 at gain setting 2 while battery state was 4.5V.,AudioMoth 247AA5015BA446E5,2019:12:08 11:14:18-08:00,WAV,WAV,audio/x-wav,0.6395365596
45600,AM-27,243B1F075C79F65E,GRABADOR-SDZG-AM-27/20190617_112000.WAV,GRABADOR-SDZG-AM-27,20190617_112000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:20:00 17/06/2019 (UTC) by AudioMoth 243B1F075C79F65E at gain setting 2 while battery state was 4.5V.,AudioMoth 243B1F075C79F65E,2019:12:18 12:18:13-08:00,WAV,WAV,audio/x-wav,0.9871587753
40327,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190627_114000.WAV,GRABADOR-SDZG-AM-25,20190627_114000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:40:00 27/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.0V.,AudioMoth 24E144035BA455E9,2019:12:08 18:13:09-08:00,WAV,WAV,audio/x-wav,0.966068089
30061,AM-22,247AA5015BA446DA,GRABADOR-SDZG-AM-22/20190710_104000.WAV,GRABADOR-SDZG-AM-22,20190710_104000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,10,60.00046875,,Recorded at 10:40:00 10/07/2019 (UTC) by AudioMoth 247AA5015BA446DA at gain setting 2 while battery state was 3.9V.,AudioMoth 247AA5015BA446DA,2019:12:10 22:52:54-08:00,WAV,WAV,audio/x-wav,0.9711729288
23206,AM-2,248C7D075B2BF148,GRABADOR-SDZG-AM-2/20190625_111000.WAV,GRABADOR-SDZG-AM-2,20190625_111000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:10:00 25/06/2019 (UTC) by AudioMoth 248C7D075B2BF148 at gain setting 2 while battery state was 4.1V.,AudioMoth 248C7D075B2BF148,2019:12:08 06:39:25-08:00,WAV,WAV,audio/x-wav,0.9781343937
1567,AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190627_120000.WAV,GRABADOR-SDZG-AM-1,20190627_120000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,12,60.00046875,,Recorded at 12:00:00 27/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.0V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:02:19-08:00,WAV,WAV,audio/x-wav,0.8817363977
39030,AM-25,24E144035BA455E9,GRABADOR-SDZG-AM-25/20190618_113000.WAV,GRABADOR-SDZG-AM-25,20190618_113000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,11,60.00046875,,Recorded at 11:30:00 18/06/2019 (UTC) by AudioMoth 24E144035BA455E9 at gain setting 2 while battery state was 4.4V.,AudioMoth 24E144035BA455E9,2019:12:08 16:21:35-08:00,WAV,WAV,audio/x-wav,0.9903028011
